src,dest
Arthur Rimbaud,Hélène Cixous
Charles Baudelaire,Marcel Proust
Charles Baudelaire,Théodore de Banville
Charles Baudelaire,Léo Ferré
Alfred de Vigny,Charles Baudelaire
Bernard Le Bouyer de Fontenelle,Thomas Corneille
Bernard Le Bouyer de Fontenelle,Voltaire
Bernard Le Bouyer de Fontenelle,Jean Racine
Bernard Le Bouyer de Fontenelle,Pierre Corneille
Raymond Queneau,René Daumal
Alfred Jarry,Raymond Queneau
Julien Gracq,Raymond Queneau
Guillaume Apollinaire,Raymond Queneau
Pierre Reverdy,Raymond Queneau
François Cheng,Fénelon
Fénelon,Maurice Genevoix
François-René de Chateaubriand,Fénelon
Fénelon,Fénelon
Fénelon,Léon Bloy
Béatrix Beck,René Maran
Max Jacob,Pierre Reverdy
Pierre Corneille,Voltaire
Christine de Pizan,Marie de Gournay
Marie de Gournay,Pierre de Ronsard
François de Malherbe,Marie de Gournay
Gustave Thibon,Léon Bloy
Léon Bloy,Victor Hugo
Anatole France,Léon Bloy
Léon Bloy,Voltaire
Charles Baudelaire,Léon Bloy
Paul Verlaine,Vitalie Rimbaud
Marcel Proust,Marcel Schwob
Marcel Schwob,Paul Valéry
Marcel Schwob,Théophile Gautier
Georges Courteline,Marcel Schwob
Jules Renard,Marcel Schwob
Marcel Schwob,Paul Verlaine
Aristide Bruant,Marcel Schwob
Marcel Schwob,Victor Hugo
Anatole France,Marcel Schwob
Jean Lorrain,Marcel Schwob
Alfred Jarry,Marcel Schwob
Alphonse Daudet,Marcel Schwob
Marcel Schwob,Pierre Louÿs
Marcel Schwob,Paul Léautaud
Marcel Schwob,Maurice Maeterlinck
François Villon,Marcel Schwob
Marcel Schwob,Max Jacob
Marcel Schwob,Robert de Montesquiou
Marcel Schwob,Paul Claudel
Catulle Mendès,Marcel Schwob
Guillaume Apollinaire,Marcel Schwob
Marcel Schwob,Paul Fort
Marcel Schwob,Stéphane Mallarmé
Charles Baudelaire,Marcel Schwob
Aimé Césaire,Jean Genet
