src,dest
Isidore Isou,Raymond Queneau
Théodore de Banville,Victor Hugo
Alfred de Vigny,Théodore de Banville
Francis Picabia,Louis Aragon
Francis Picabia,Paul Éluard
Alfred Jarry,Francis Picabia
Francis Picabia,Guillaume Apollinaire
Francis Picabia,Marie Laurencin
Francis Picabia,Philippe Soupault
André Breton,Francis Picabia
Maurice Maeterlinck,Paul-Jean Toulet
Guy Goffette,Paul Verlaine
Guy Goffette,Yves Bonnefoy
Kateb Yacine,Édouard Glissant
Blaise Cendrars,Robert Desnos
Blaise Cendrars,Paul Valéry
Blaise Cendrars,Tristan Tzara
Blaise Cendrars,Francis Picabia
Antonin Artaud,Blaise Cendrars
Blaise Cendrars,Paul Éluard
Alfred Jarry,Blaise Cendrars
Blaise Cendrars,Maurice Maeterlinck
Blaise Cendrars,Max Jacob
Blaise Cendrars,Remy de Gourmont
Blaise Cendrars,Guillaume Apollinaire
Blaise Cendrars,Jean Cocteau
Blaise Cendrars,Stéphane Mallarmé
André Breton,Blaise Cendrars
Aimé Césaire,Jules Romains
Abel Bonnard,Jules Romains
Georges Duhamel,Jules Romains
Fadhma Aït Mansour Amrouche,Jean Amrouche
Fadhma Aït Mansour Amrouche,Taos Amrouche
François Cheng,Victor Segalen
François Cheng,Henri Michaux
François Cheng,Maurice Genevoix
Anne Hébert,François Cheng
Antoine de Saint-Exupéry,François Cheng
André Chénier,José-Maria de Heredia
José-Maria de Heredia,Paul Verlaine
François Coppée,José-Maria de Heredia
Alfred de Musset,José-Maria de Heredia
Louise Labé,Maurice Scève
Clément Marot,Maurice Scève
Paul Valéry,Paul Verlaine
Paul Verlaine,Théodore de Banville
Antonin Artaud,Paul Verlaine
Anatole France,Paul Verlaine
François Coppée,Paul Verlaine
Charles Cros,Paul Verlaine
Aloysius Bertrand,Paul Verlaine
Léo Ferré,Paul Verlaine
Leconte de Lisle,Paul Verlaine
Catulle Mendès,Paul Verlaine
Paul Verlaine,Stéphane Mallarmé
Arthur Rimbaud,Paul Verlaine
Charles Baudelaire,Paul Verlaine
Aimé Césaire,Jacques Roubaud
Aimé Césaire,Julien Gracq
Aimé Césaire,Léopold Sédar Senghor
Aimé Césaire,René Depestre
Aimé Césaire,André Breton
André Breton,René Daumal
Anatole France,Frédéric Mistral
Alphonse Daudet,Frédéric Mistral
Frédéric Mistral,Sully Prudhomme
Frédéric Mistral,Maurice Maeterlinck
Frédéric Mistral,Saint-John Perse
François Mauriac,Frédéric Mistral
Jean de La Fontaine,Molière
Jean Racine,Molière
Molière,Pierre Corneille
Germain Nouveau,Louis Aragon
Germain Nouveau,Paul Verlaine
Arthur Rimbaud,Germain Nouveau
Charles Aznavour,Jean Cocteau
Charles Aznavour,Serge Gainsbourg
Gérard de Nerval,Victor Hugo
Thomas Corneille,Victor Hugo
Aloysius Bertrand,Victor Hugo
Victor Hugo,Voltaire
Edgar Quinet,Victor Hugo
Leconte de Lisle,Victor Hugo
Alfred de Musset,Victor Hugo
Alfred de Vigny,Victor Hugo
Charles Nodier,Victor Hugo
François-René de Chateaubriand,Victor Hugo
Clément Marot,Victor Hugo
Charles Baudelaire,Victor Hugo
Pierre Corneille,Victor Hugo
Lucie Delarue-Mardrus,Natalie Clifford Barney
Lucie Delarue-Mardrus,Renée Vivien
Antonin Artaud,Paul Valéry
Antonin Artaud,René Daumal
Antonin Artaud,René Char
Antonin Artaud,Paul Éluard
Alfred Jarry,Antonin Artaud
Antonin Artaud,Jacques Prévert
Antonin Artaud,Julien Gracq
Antonin Artaud,Francis Ponge
Antonin Artaud,Guillaume Apollinaire
Antonin Artaud,Jean Cocteau
Antonin Artaud,Stéphane Mallarmé
Antonin Artaud,Philippe Soupault
Antonin Artaud,Arthur Rimbaud
André Breton,Antonin Artaud
Antonin Artaud,Charles Baudelaire
Antonin Artaud,Raymond Queneau
Antonin Artaud,Pierre Reverdy
Antonin Artaud,Jean Genet
Gérard de Nerval,René Char
Paul Éluard,René Char
François Villon,René Char
Alfred de Vigny,René Char
Jean Racine,René Char
André Breton,René Char
Charles Baudelaire,René Char
Anatole France,Sully Prudhomme
Anatole France,Maurice Maeterlinck
Alfred de Vigny,Anatole France
Anatole France,Saint-John Perse
Anatole France,François Mauriac
Pierre de Ronsard,Victor Hugo
Clément Marot,Pierre de Ronsard
François de Malherbe,Pierre de Ronsard
Pierre Corneille,Pierre de Ronsard
Louise de Vilmorin,Paul Éluard
Louise de Vilmorin,Max Jacob
Jean Cocteau,Louise de Vilmorin
Louise de Vilmorin,Marie Laurencin
Antoine de Saint-Exupéry,Louise de Vilmorin
Boris Vian,Léo Ferré
Boris Vian,Serge Gainsbourg
Boris Vian,Raymond Queneau
Louis Aragon,Madeleine Riffaud
Kateb Yacine,Madeleine Riffaud
Madeleine Riffaud,Paul Éluard
Jean Richepin,Paul Verlaine
Arthur Rimbaud,Jean Richepin
Gérard de Nerval,Marcel Proust
Arsène Houssaye,Gérard de Nerval
Antonin Artaud,Gérard de Nerval
Gérard de Nerval,Pierre de Ronsard
Aloysius Bertrand,Gérard de Nerval
Edgar Quinet,Gérard de Nerval
Alfred de Musset,Gérard de Nerval
Alfred de Vigny,Gérard de Nerval
Charles Nodier,Gérard de Nerval
François-René de Chateaubriand,Gérard de Nerval
André Breton,Gérard de Nerval
Charles Baudelaire,Gérard de Nerval
Charles Aznavour,Pierre Garnier
Pierre Garnier,Pierre Garnier
Paul Éluard,René Daumal
Alfred Jarry,Paul Éluard
Jacques Prévert,Paul Éluard
Julien Gracq,Paul Éluard
Francis Ponge,Paul Éluard
Guillaume Apollinaire,Paul Éluard
Paul Éluard,Robert Sabatier
Paul Éluard,Philippe Soupault
André Breton,Paul Éluard
Paul Éluard,Raymond Queneau
Paul Éluard,Pierre Reverdy
Birago Diop,Victor Hugo
Birago Diop,Charles Baudelaire
Charles Péguy,Robert Brasillach
Alphonse de Lamartine,Louis Antoine de Saint-Just
Louis Antoine de Saint-Just,Victor Hugo
Louis Antoine de Saint-Just,Voltaire
Louis Antoine de Saint-Just,Léopold Sédar Senghor
Alfred de Vigny,Louis Antoine de Saint-Just
François-René de Chateaubriand,Louis Antoine de Saint-Just
Fabre d'Églantine,Louis Antoine de Saint-Just
Jacques Roubaud,Julien Gracq
Jacques Roubaud,Raymond Queneau
Thomas Corneille,Voltaire
Leconte de Lisle,Thomas Corneille
Jean Racine,Thomas Corneille
Pierre Corneille,Thomas Corneille
Alfred Jarry,Paul Valéry
Alfred Jarry,Maurice Maeterlinck
Alfred Jarry,Max Jacob
Alfred Jarry,Remy de Gourmont
Alfred Jarry,Guillaume Apollinaire
Alfred Jarry,Jean Cocteau
Alfred Jarry,Stéphane Mallarmé
Alfred Jarry,André Breton
Jules Laforgue,Paul Bourget
Arthur Rimbaud,Jules Laforgue
Brigitte Fontaine,Serge Gainsbourg
Brigitte Fontaine,Jean Genet
Anatole France,François Coppée
Alfred de Musset,François Coppée
Arthur Rimbaud,François Coppée
Marcel Proust,Natalie Clifford Barney
Natalie Clifford Barney,Paul Valéry
Louis Aragon,Natalie Clifford Barney
Anatole France,Natalie Clifford Barney
Natalie Clifford Barney,Renée Vivien
Natalie Clifford Barney,Pierre Louÿs
Max Jacob,Natalie Clifford Barney
Natalie Clifford Barney,Paul Claudel
Natalie Clifford Barney,Remy de Gourmont
Jean Cocteau,Natalie Clifford Barney
Marie Laurencin,Natalie Clifford Barney
Pierre-Jean de Béranger,Victor Hugo
Claude Joseph Rouget de Lisle,Pierre-Jean de Béranger
Pierre-Jean de Béranger,Voltaire
François-René de Chateaubriand,Pierre-Jean de Béranger
Jean Racine,Pierre-Jean de Béranger
Beata Umubyeyi Mairesse,Étienne de La Boétie
Alphonse Allais,Charles Cros
Charles Cros,Stéphane Mallarmé
Arthur Rimbaud,Charles Cros
Christophe Maé,Jean-Louis Aubert
Madeleine de Scudéry,Molière
Madeleine de Scudéry,Natalie Clifford Barney
Madeleine de Scudéry,Paul Scarron
Edmond Rostand,Victor Hugo
Edmond Rostand,Maurice Rostand
Edmond Rostand,Jean Cocteau
Edmond Rostand,Rosemonde Gérard
Charles Aznavour,Jacques Brel
Jacques Brel,Voltaire
Félix Leclerc,Jacques Brel
Jacques Brel,Serge Gainsbourg
Max Jacob,Raymond Radiguet
Jean Cocteau,Raymond Radiguet
François Mauriac,Raymond Radiguet
Max Jacob,Pierre Mac Orlan
Guillaume Apollinaire,Pierre Mac Orlan
Francis Carco,Pierre Mac Orlan
Jacques Prévert,René Daumal
Alfred Jarry,Jacques Prévert
Jacques Prévert,Julien Gracq
Francis Ponge,Jacques Prévert
Guillaume Apollinaire,Jacques Prévert
Jacques Prévert,Philippe Soupault
Jacques Prévert,Serge Gainsbourg
André Breton,Jacques Prévert
Jacques Prévert,Raymond Queneau
Jacques Prévert,Pierre Reverdy
Aloysius Bertrand,Arsène Houssaye
Aloysius Bertrand,Théodore de Banville
Aloysius Bertrand,Max Jacob
Aloysius Bertrand,Edgar Quinet
Alfred de Musset,Aloysius Bertrand
Alfred de Vigny,Aloysius Bertrand
Aloysius Bertrand,Charles Nodier
Aloysius Bertrand,François-René de Chateaubriand
Aloysius Bertrand,Stéphane Mallarmé
Aloysius Bertrand,André Breton
Aloysius Bertrand,Charles Baudelaire
Julien Gracq,Maurice Genevoix
Julien Gracq,Tahar Ben Jelloun
Georges Duhamel,Julien Gracq
Jacques Laurent,Julien Gracq
Hervé Le Tellier,Julien Gracq
Julien Gracq,Éric Vuillard
André Breton,Julien Gracq
Julien Gracq,René Maran
Béatrix Beck,Julien Gracq
Chrétien de Troyes,Rutebeuf
Léo Ferré,Rutebeuf
Aimé Césaire,Annie Le Brun
Alfred Jarry,Annie Le Brun
André Breton,Annie Le Brun
Annie Le Brun,Hélène Cixous
Abdellatif Laâbi,Mohammed Khaïr-Eddine
Abdellatif Laâbi,Tahar Ben Jelloun
Léopold Sédar Senghor,Yves Bonnefoy
Jean-Pierre Siméon,Yves Bonnefoy
Jacques Brel,Mylène Farmer
Arthur Rimbaud,Mylène Farmer
Charles Baudelaire,Mylène Farmer
Mylène Farmer,Pierre Reverdy
Anatole France,Paul Bourget
Paul Bourget,Voltaire
François-René de Chateaubriand,Voltaire
Voltaire,Étienne de La Boétie
Jacques Réda,Valery Larbaud
Paul Valéry,Robert Brasillach
Abel Bonnard,Robert Brasillach
Max Jacob,Robert Brasillach
Paul Claudel,Robert Brasillach
Jean Cocteau,Robert Brasillach
François Mauriac,Robert Brasillach
Charles Ferdinand Ramuz,Philippe Jaccottet
Jean-Pierre Siméon,Léopold Sédar Senghor
Georges Duhamel,Paul Léautaud
Charles Aznavour,Grand Corps Malade
Clément Marot,Louise Labé
Jean de La Fontaine,Louise Labé
Paul Scarron,Théophile Gautier
Molière,Paul Scarron
Claude Nougaro,Jacques Audiberti
José-Maria de Heredia,Sully Prudhomme
Maurice Maeterlinck,Sully Prudhomme
Saint-John Perse,Sully Prudhomme
François Mauriac,Sully Prudhomme
Jean de La Fontaine,Sully Prudhomme
Jean Lorrain,Maurice Maeterlinck
Maurice Maeterlinck,Saint-John Perse
François Mauriac,Maurice Maeterlinck
Maurice Maeterlinck,Paul Fort
Clément Marot,François Villon
Jacques Brel,Léo Ferré
Arthur Rimbaud,Léo Ferré
Francis Ponge,René Daumal
Alfred Jarry,Francis Ponge
Francis Ponge,Julien Gracq
Francis Ponge,Guillaume Apollinaire
Francis Ponge,Philippe Soupault
André Breton,Francis Ponge
Francis Ponge,Raymond Queneau
Francis Ponge,Pierre Reverdy
Louise Colet,Victor Hugo
Alfred de Musset,Louise Colet
Maurice Genevoix,Tahar Ben Jelloun
Jean Cocteau,Maurice Genevoix
Georges Duhamel,Maurice Genevoix
Jacques Laurent,Maurice Genevoix
Françoise Sagan,Maurice Genevoix
Hervé Le Tellier,Maurice Genevoix
Maurice Genevoix,Éric Vuillard
Maurice Genevoix,René Maran
Béatrix Beck,Maurice Genevoix
Léopold Sédar Senghor,René Depestre
Michel Butor,René Depestre
Henri Lopes,René Depestre
